,Saguaro ID,2013 Measurement,2015 Measurement,2020 Measurement,2013 - 2015 Avg. Growth Rate,2015 - 2020 Avg. Growth Rate
2,1970-1021-01-1,19.9,21.5,22.3,0.8,0.4
3,1970-9909-01-1,23.7,24.95,25.1,0.625,0.075
4,1971-0130-01-1,6.1,6.9,8.6,0.4,0.85
6,1976-0079-01-1,16.8,16.9,17.5,0.05,0.3
7,1976-0235-01-1,13.7,14.0,14.7,0.15,0.35
9,1976-0379-01-11,15.3,16.2,18.0,0.45,0.9
10,1976-0379-01-12,17.0,18.15,19.2,0.575,0.525
11,1976-0379-01-13,13.6,14.4,15.8,0.4,0.7
12,1976-0379-01-14,12.7,13.6,15.4,0.45,0.9
13,1976-0379-01-15,17.5,18.2,19.6,0.35,0.7
14,1976-0379-01-16,16.9,17.35,17.8,0.225,0.225
15,1976-0379-01-18,23.7,25.4,25.8,0.85,0.2
17,1976-0379-01-2,18.7,18.95,19.5,0.125,0.275
18,1976-0379-01-20,17.9,18.85,19.0,0.475,0.075
19,1976-0379-01-21,11.8,12.3,12.9,0.25,0.3
20,1976-0379-01-22,8.0,9.44,10.7,0.72,0.63
21,1976-0379-01-23,12.7,13.3,14.4,0.3,0.55
22,1976-0379-01-24,8.5,9.35,10.8,0.425,0.725
23,1976-0379-01-25,11.9,10.45,11.5,-0.725,0.525
24,1976-0379-01-26,13.3,13.75,15.2,0.225,0.725
25,1976-0379-01-27,11.7,12.35,13.2,0.325,0.425
27,1976-0379-01-4,18.7,19.25,19.3,0.275,0.025
28,1976-0379-01-5,9.2,9.45,10.6,0.125,0.575
29,1976-0379-01-6,15.9,16.8,17.7,0.45,0.45
32,1976-0379-01-9,17.5,17.0,18.9,-0.25,0.95
33,1977-0885-01-1,10.5,11.38,13.2,0.44,0.91
34,1977-0886-01-1,10.7,11.78,13.3,0.54,0.76
36,1977-1446-01-1,12.4,13.75,14.8,0.675,0.525
39,1978-0472-01-1,11.8,12.99,14.2,0.595,0.605
